Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Anderlecht,32,31.0,42,461,150,32.5,14.87,4.84,0.08,0.24,6,6
Antwerp,33,31.0,32,337,123,36.5,10.87,3.97,0.08,0.22,5,7
Cercle Brugge,28,31.0,40,436,142,32.6,14.06,4.58,0.07,0.22,9,11
Charleroi,32,31.0,38,404,135,33.4,13.03,4.35,0.09,0.26,3,4
Club Brugge,29,31.0,61,523,179,34.2,16.87,5.77,0.11,0.34,1,2
Dender,30,31.0,25,335,118,35.2,10.81,3.81,0.06,0.18,4,4
Genk,26,31.0,48,473,179,37.8,15.26,5.77,0.10,0.25,3,3
Gent,32,31.0,50,402,139,34.6,12.97,4.48,0.11,0.32,5,6
La Louvière,28,31.0,26,330,97,29.4,10.65,3.13,0.08,0.26,1,1
Mechelen,30,31.0,39,310,119,38.4,10.00,3.84,0.12,0.31,2,2
OH Leuven,28,31.0,32,428,136,31.8,13.81,4.39,0.07,0.21,3,4
Sint-Truiden,24,31.0,45,426,132,31.0,13.74,4.26,0.09,0.29,7,8
Standard Liège,30,31.0,27,298,100,33.6,9.61,3.23,0.07,0.22,5,6
Union SG,30,31.0,50,468,167,35.7,15.10,5.39,0.10,0.29,2,4
Westerlo,30,31.0,37,445,139,31.2,14.35,4.48,0.07,0.23,5,7
Zulte Waregem,25,31.0,40,378,126,33.3,12.19,4.06,0.09,0.28,5,6
